protocol,target_city,target,comparison_budget,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
zero_shot_absolute_aligned_3shot,Kars,cooling,3,0,997,base_0948|base_0945|base_0724,0.4952251473859209,0.663903796788599,0.9832099646887112,0.9930532476779398,0.9297289458737661,0.0817490000000003,0.9
zero_shot_absolute_aligned_3shot,Kars,total,3,0,997,base_0948|base_0945|base_0724,14.875027850784768,15.382446196369656,0.8985942757861046,0.9972770764184291,0.9588685735922629,0.9799199999999928,0.94
3_shot_global_bias,Kars,heating,3,3,997,base_0948|base_0945|base_0724,3.1887716392986647,4.082113573426534,0.9937330574825792,0.9977535644333103,0.961539236182443,2.220088000000004,0.94
3_shot_global_bias,Kars,cooling,3,3,997,base_0948|base_0945|base_0724,0.49317606423621924,0.6601672374424502,0.9833984269831361,0.9930532476779398,0.9297289458737661,0.0817490000000003,0.9
3_shot_global_bias,Kars,total,3,3,997,base_0948|base_0945|base_0724,3.112534074821432,3.9186357767092717,0.9934191580588846,0.9972770764184291,0.9588685735922629,0.9799199999999928,0.94
3_shot_raw_relative,Kars,heating,3,3,997,base_0948|base_0945|base_0724,5.771898197721312,7.229431120226628,0.9803440611412745,0.9906021272645231,0.9289998509584981,4.175809000000015,0.92
3_shot_raw_relative,Kars,cooling,3,3,997,base_0948|base_0945|base_0724,0.5829011219187377,0.8610986034132295,0.9717546425897929,0.991134666282451,0.9265829617366156,0.0817490000000003,0.9
3_shot_raw_relative,Kars,total,3,3,997,base_0948|base_0945|base_0724,5.608108986694146,7.128551427566003,0.9782221884327551,0.9887101001679497,0.924137875473811,0.9799199999999928,0.92
zero_shot_absolute,Konya,heating,0,0,1000,,6.144605465092751,8.118008031816121,0.9522634995395296,0.980770808770809,0.8878958958958959,0.0,0.68
zero_shot_absolute,Konya,cooling,0,0,1000,,2.1787399348263947,3.160439746665824,0.8958989892665725,0.9756701436701437,0.8829349349349349,0.0,0.96
zero_shot_absolute,Konya,total,0,0,1000,,7.994953002575786,10.866932895518861,0.8911800459346565,0.9527608247608249,0.8262462462462462,0.8328520000000026,0.94
zero_shot_absolute_aligned_1shot,Konya,heating,1,0,999,base_0948,6.1507518585462755,8.122070081453582,0.9522606555640075,0.9807763153935497,0.8878718397756475,0.0,0.68
zero_shot_absolute_aligned_1shot,Konya,cooling,1,0,999,base_0948,2.1795710309700964,3.1617333166079797,0.8958837992120035,0.9756228131939553,0.8828608167285523,0.0,0.96
zero_shot_absolute_aligned_1shot,Konya,total,1,0,999,base_0948,8.001594255190186,10.87228525255584,0.8911601198878846,0.9528101127179283,0.8262671489124396,0.8328520000000026,0.94
